video_id,comment_id,author_display_name,text,published_at,like_count,clean_text,word_count,is_spam
z9or_nYdBe8,Ugz9ggK2yiKSZ9Dwhjp4AaABAg,@dexterspeights3484,USA is playing checkers when China's game is chess!,2025-04-15T21:28:06Z,0,usa playing checkers chinas game chess,6,0
z9or_nYdBe8,UgyIXbB3tQfh5LoTuXp4AaABAg,@CrimsonVine-v3,"Amid the waning hegemony of the U.S. dollar, the global economy is undergoing a structural realignment. Nations are now actively competing for their share based on comprehensive national capabilities rather than adhering to U.S.-centric allocations. 
Population, as a critical pillar of geopolitical strength, positions India to claim an economic stake commensurate with its demographic scale and strategic influence.",2025-04-15T21:27:24Z,0,amid waning hegemony us dollar global economy undergoing structural realignment nations actively competing share based comprehensive national capabilities rather adhering uscentric allocations population critical pillar geopolitical strength positions india claim economic stake commensurate demographic scale strategic influence,37,0
z9or_nYdBe8,UgzDx5m5V8lsVhHw5IF4AaABAg,@theehonestson,😂😂😂😂😂😂😂😂😂😂😂😂😂 I always knew AMERICANS that like brands are STEWPEED,2025-04-15T21:26:01Z,0,always knew americans like brands stewpeed,6,0
z9or_nYdBe8,Ugy54dKV-J3KbHhpw8J4AaABAg,@valgalicia399,"IF I WHERE CHINA GOVERNMENT ALL BUSINESSES HEREIN THE PHILIPPINES HOTELS ,MALLS THEY PULL OUT  THOSE INORDER OUR COUNTRY WILL EXPERIENCE HUNGER ,JOBLESS TO TEACH A LESSON OUR DRUG ADDICT PRES.AND HIS CABINET ,CONGRESSMAN ,SENATORS TO FIND SOLUTION WHERE TO GET TAXES FOR THEIR GRAFT AND CORRUPTION .",2025-04-15T21:24:53Z,0,china government businesses herein philippines hotels malls pull inorder country experience hunger jobless teach lesson drug addict presand cabinet congressman senators find solution get taxes graft corruption,27,0
z9or_nYdBe8,Ugw2k-fdNblUaBQRcqt4AaABAg,@sportsonwheelss,"China is saving lives.  Less weapons, less lives being kill.",2025-04-15T21:24:22Z,0,china saving lives less weapons less lives kill,8,0
z9or_nYdBe8,Ugwp32krzmYnKij1_Hd4AaABAg,@mariloualbiar5994,China products are cheap but low quality. They are known for this.,2025-04-15T21:23:14Z,0,china products cheap low quality known,6,0
z9or_nYdBe8,UgxlnNvtqVjLdkYhp3N4AaABAg,@VinoUdaBestOne,"Palki says: how do we know they're telling the truth?

Answer: Simple Palki, because the shit says ""Made ain China"" on it 😂",2025-04-15T21:22:47Z,0,palki says know theyre telling truth answer simple palki shit says made china,13,0
z9or_nYdBe8,Ugy8t5NdaafGQOamIv54AaABAg,@Whyworrie,"Boeing can sell to India, not problems 😂, China can make C-919, C929, Boeing including Trump tax too expensive now , Now China kick Trumps ass, Indian kiss Trumps ass😂😂😂😂😂",2025-04-15T21:22:19Z,0,boeing sell india problems china make c c boeing including trump tax expensive china kick trumps ass indian kiss trumps ass,21,0
z9or_nYdBe8,Ugzkj2VbSBzlKxVIEUF4AaABAg,@moureenonjiko5009,"China will stand to lose coz many companies that manufacture there target the US market. Furthermore, the US economy allows the consumers to pay high prices for those goods, thats simple economics",2025-04-15T21:22:07Z,0,china stand lose coz many companies manufacture target us market furthermore us economy allows consumers pay high prices goods thats simple economics,22,0
z9or_nYdBe8,Ugxqn2KpAJG5Lq7-oVd4AaABAg,@phatmeow7764,i've met numbskulls with iphones in their hands and nuffin in their wallets!,2025-04-15T21:21:29Z,0,ive met numbskulls iphones hands nuffin wallets,7,0
z9or_nYdBe8,Ugy7PBOtwTj2zAWXiax4AaABAg,@miriamocean6776,"CHINA 🇨🇳 TRADING As early as the pre-Qin period, residents of the country began to ship silk and other merchandise on outbound voyages. From the 2nd century BCE on, China has been connected to the rest of the world via the Overland Silk Road and the Maritime Silk Road initiated in the reign of Emperor Wu of the Western Han Dynasty.",2025-04-15T21:21:18Z,0,china trading early preqin period residents country began ship silk merchandise outbound voyages nd century bce china connected rest world via overland silk road maritime silk road initiated reign emperor wu western han dynasty,34,0
z9or_nYdBe8,Ugyl-s7IiB-q2LkGzy94AaABAg,@Rwhshki,Boeing is not a safe plane to travel. It had so many aircrash,2025-04-15T21:20:40Z,0,boeing safe plane travel many aircrash,6,0
z9or_nYdBe8,UgwLWbjZq632qE78JPF4AaABAg,@modireli1318,The saddest  thing about all this is China's expansionist  ambition and aggression towards it's neighbours. Imagine all these eastern economies together against the  western block.,2025-04-15T21:20:23Z,0,saddest thing chinas expansionist ambition aggression towards neighbours imagine eastern economies together western block,14,0
z9or_nYdBe8,Ugz1pnzpvBxj7H-ai5N4AaABAg,@bleekky,"that also happen on many asia country esp develop country, americans wake up lol, you've been lied all this time 🤣🤣🤣",2025-04-15T21:19:04Z,0,also happen many asia country esp develop country americans wake lol youve lied time,14,0
z9or_nYdBe8,UgyyZ_f1ET5o_y063lF4AaABAg,@dens3179,Simple .US wants to remove made in china product  . What ever propaganda you hurt US is nothing . We know made in china they sell cheap low quality .,2025-04-15T21:18:28Z,0,simple us wants remove made china product ever propaganda hurt us nothing know made china sell cheap low quality,19,0
z9or_nYdBe8,Ugwr13Sd0zuN9QedYF14AaABAg,@brendavirtusio2018,"fake knockoff goods from china, no wonder it’s cheap",2025-04-15T21:16:11Z,0,fake knockoff goods china wonder ’ cheap,7,0
